Nombre,Cuenta,Servidor
Amnistía Internacional Extremadura,@ExtremaduraAI@mastodon.social,Mastodon
Anartist,@anartist@social.anartist.org,Mastodon
Aneca,@aneca@mastodon.social,Mastodon
Civio,@civio@mastodon.social,Mastodon
Climática,@climatica_coop@mastodon.social,Mastodon
Donestech,@donestech@systerserver.town,Mastodon
CNT Valladolid,@cnt_valladolid@kolektiva.social,Mastodon
CNT Valladolid,@cnt_valladolid@fediverse.tv,PeerTube
CNT Valladolid,@cntvalladolid@pixelfed.de,Pixelfed
Cuéntica,@cuentica@masto.es,Mastodon
Descontrol Editorial,@DescontrolEditorial@mastodont.cat,Mastodon
desdelamina.net,@desdelamina@xarxa.cloud,Mastodon
Ecologistas en Acción,@ecologistas@mastodon.social,Mastodon
Ediciones Dyskolo,@dyskolo@mastodon.social,Mastodon
El Salto Diario,@ElSaltoDiario@mastodon.social,Mastodon
elDiario.es,@eldiarioes@mastodon.world,Mastodon
Hacklab Logout,@logout@bcn.fedi.cat,Akkoma
Izquierda Unida,@izquierda_unida@mastodon.social,Mastodon
Jugando En Linux,@jugandoenlinux@mastodon.social,Mastodon
La Marea,@lamarea@mastodon.social,Mastodon
Libreria Aldarull,@aldarull@mastodont.cat,Mastodon
L'Horta Alliberada de Sants,@horta-alliberada@bcn.fedi.cat,Akkoma
MediaLab Invisible,@medialab_invisible@xarxa.cloud,Mastodon
Obradoiro Dixital Galego,@obradoirodixitalgalego@mastodon.gal,Mastodon
Pantube TV,@pantube@mas.to,Mastodon
Somos Conexión,@somconnexio@mastodon.social,Mastodon
Som Energía,@SomEnergia@mastodon.economiasocial.org,Mastodon
The conversation España,@theconversationes@newsie.social,Mastodon
Universidad Jaume I,@ujiuniversitat@social.uji.es,Mastodon
Virus Editorial,@viruseditorial@kolektiva.social,Mastodon
