Nombre,Enlace,Texto
Amnistía Internacional Extremadura,https://mastodon.social/@ExtremaduraAI,Autoverificado
Amnistía Internacional Extremadura,https://blogs.es.amnesty.org/extremadura/nosotros/,Web
Anartist,https://social.anartist.org/@anartist,Autoverificado
Anartist,https://anartist.org/,Web
Aneca,https://www.aneca.es/web/guest/-/aneca-aterriza-en-mastodon,Comunicado
Aneca,https://www.aneca.es/,Web
Carro de Combate,https://www.carrodecombate.com/2025/01/20/nos-vamos-de-x-antes-twitter/,Comunicado
CGT Oficios Varios Madrid,https://www.cgtmadrid-ovarios.org/,Web
CGT Oficios Varios Madrid,https://www.cgtmadrid-ovarios.org/index.php/22-featured-news/400-vamonos-juntas,Comunicado
Civio,https://civio.es/,Web
Climática,https://mastodon.social/@climatica_coop,Autoverificado
Climática,https://climatica.coop/climatica-deja-de-publicar-en-facebook-e-instagram/,Comunicado
Climática,https://climatica.coop/,Web
CNT Valladolid,https://www.cntvalladolid.es/,Web
Cuéntica,https://masto.es/@cuentica,Autoverificado
Cuéntica,https://cuentica.com/,Web
Descontrol Editorial,https://descontrol.cat/,Web
desdelamina.net,https://xarxa.cloud/@desdelamina,Autoverificado
desdelamina.net,https://desdelamina.net/,Web (metaetiqueta)
Donestech,https://systerserver.town/@donestech,Autoverificado
Donestech,https://donestech.net/,Web
Ecologistas en Acción,https://www.ecologistasenaccion.org/,Web
Ediciones Dyskolo,https://liberapay.com/dyskolo/donate,Liberapay
Ediciones Dyskolo,https://www.dyskolo.cc/,Web
El Salto Diario,https://www.elsaltodiario.com/,Web oficial
elDiario.es,https://mastodon.world/@eldiarioes,Autoverificado
elDiario.es,https://www.eldiario.es/,Web
Hacklab Logout,https://sindominio.net/logout/web/,Web
Izquierda Unida,https://mastodon.social/@izquierda_unida,Autoverificado
Izquierda Unida,https://izquierdaunida.org/,Web
Jugando En Linux,https://mastodon.social/@jugandoenlinux,Autoverificado
Jugando En Linux,https://jugandoenlinux.com/,Web
La Marea,https://mastodon.social/@lamarea,Autoverificado
La Marea,https://www.lamarea.com/2025/01/09/la-marea-deja-de-publicar-en-facebook-e-instagram/,Comunicado
La Marea,https://www.lamarea.com/,Web
Libreria Aldarull,https://aldarull.org/,Web
L'Horta Alliberada de Sants,https://t.me/lhortaalliberada/63,Comunicado
Madrid Ciclista,https://mastodon.social/@MADciclista,Autoverificado
Madrid Ciclista,https://madridciclista.org,Web
MediaLab Invisible,https://codeberg.org/medialab-invisible,Codeberg
MediaLab Invisible,https://github.com/medialab-invisible,GitHub
Nokorpo,https://gamedev.lgbt/@nokorpo,Autoverificado
Nokorpo,https://nokorpo.com/,Web
Obradoiro Dixital Galego,https://mastodon.gal/@obradoirodixitalgalego,Autoverificado
Obradoiro Dixital Galego,https://obradoirodixitalgalego.gal/,Web
Pantube TV,https://pantube.tv/linktree/,Web
Somos Conexión,https://mastodon.social/@somconnexio,Autoverificado
Somos Conexión,https://somosconexion.coop/somos-conexion-dejamos-de-publicar-en-x/?utm_source=mastodon&utm_medium=social&utm_campaign=X&utm_content=article,Comunicado
Somos Conexión,https://somosconexion.coop,Web
Som Energía,https://mastodon.economiasocial.org/@SomEnergia,Autoverificado
Som Energía,https://www.generationkwh.org/,generationkwh.org
Som Energía,https://www.somenergia.coop/,Web
The conversation España,https://newsie.social/@theconversationes,Autoverificado
The conversation España,https://desdelamina.net/,Web
Tu nube seca mi río,https://tunubesecamirio.com/2025/01/18/vamonos-juntas-a-mastodon-redes-sociales-soberanas-para-ecologistas/,Comunicado
Universidad Jaume I,https://www.uji.es/com/noticies/2025/1/2q/comunicat-X/,Comunicado
Universidad Jaume I,https://www.uji.es/institucional/social/,Web
Virus Editorial,https://kolektiva.social/@viruseditorial,Web
